ရဲသာရွာသစ်၊ သားရိုး|yethar ywarthit, tharyoe
မကွေးမြို့|Magway City
ဝက်ကူး|Wat Kuu
နွားထိုးကြီးမြို့နယ်|Nga Htoe Gyi Township
ရသင်ကျေးရွာ|Ya Thin Village
တောင်သာမြို့နယ်|Taung Thar Township
သခွတ်ကန်ကျေးရွာ|Thakhowtkan village 
ကဝမြို့နယ်|Kawa township 
ဆင်တရွာ|sinta village
ပေါက်မြို့နယ်|Pauk township
ဗောဓိကုန်းရွာသစ်|Ball Di Kone Village Thi
အုပ်တွင်းမြို့နယ်|Oak Twin Township
(၉)၊ စုကဲကျေးရွာ|(9), SuKae Village
ချောင်းဆုံမြို့နယ်|ChaungSone Township
အုပ်ရှစ်ရွာ/အုပ်စု|Oak Shit Village/Group
သာပေါင်းမြို့နယ်|Thar Paung Township
ခ.လ.ရ (၈၇)၊|Kha La Ya (87)
ကလေးမြို့|Ka Lay City
ကျောက်ဆည်ရွာ|Kyaukse Village
အောင်လံမြို့နယ်|Aung Lan Township
ဒေါဆန်းဘွန်းရွာ၊ ပန်ကန်း|Daw San Boom Village, Pan Kan
အုပ်စု၊ ပန်ကန်း၊ လွိုင်ကော်|Group, Pan Kan, Loikaw
စိုးရွာကျေးရွာ|Soe Ywar Village
ဝမ်းတွင်းမြို့နယ်|Wan Twin Township
သဲတော(၃)ရပ်ကွက်|Theltaw(3)ward
ဝမ်းတွင်းမြို့နယ်|Onetwin township 
မြို့မ (၂)ရပ်|Myo Ma (2) Yap
မြိတ်မြို့|Myat City
အနန်းပင်ကျေးရွာ|Ananpin village 
သထုံမြို့နယ်|Thahton township 
မန်ကျည်းပင်ကျေးရွာ|Ma gyee pin village
ငပုတောမြို့|Nga pu taw city
ခါးပြတ်ရွာ|Khar pyat village
ဒေါ်ညိမ်းအုပ်စု၊ဖျာပုံမြို့|Daw nyein group,phyar pone city
အနော်ရထာလမ်း|Anaw Yahtar Street
ကျိုက်လတ်မြို့ အမှတ်(၆)ရပ်ကွက်|Kyike Latt City  No(6) Ward 
မတယ.၂၊ ကွင်းလှအုပ်စု၊|MaTaYa.2, Kwin Hla Group
ပန်းတောင်းမြို့နယ်။|Pan Taung Township
၂လမ်း၊ ၈ရပ်ကွက်|2 Street, 8 Ward
ဘိုကလေးမြို့|BoKalay City
သမ္ဘူလ - ရွာသစ်|Than Bu La - Ywar Thit
အောင်လံမြို့နယ်|Aung Lan Township
တော်လှကျေးရွာ|Tall Hla Village
ဒေးဒရဲးမြို့နယ်|Day Da Yae Township
ပိန်းအင်း၊ ကက္ကူအုပ်စု|Pain, Katkuu group 
ရေတာရှည်မြို့|Yaytarshay township 
လူသန့်အင်းရွာ|Luethantinn village
မင်္ဂလာရပ်ကွက်/တိုက်ကြီးမြို့|Mingalar ward, Taikkyi City
ကြက်ကိုင်းတန်ကျေးရွာ|Kyat kine tan village
စစ်တွေမြို့|Sittwe town
တ/ညောင်ကုန်းရွာ|Ta/Nyaung Kone Village 
ပျော်ဘွယ်မြို့နယ် |Pyaw Bwae Township
ပျဉ်ရေရွာ|Pyin Ye Village
ရွှေကျင်မြို့နယ်|Shwe Kyin Township
နားဟိုမြို့၊ ပန်ကွဲအုပ်စု|NarHo City, PanKwal Group
မိုင်းငေါ၊ ကျောက်မဲမြို့နယ်|MineNgaw, KyaukMae Township
သစ်ဆင်မြောက်စုကျေးရွာ|ThitSin MyaukSu Village
ကံကလေးအုပ်စု၊ ဇီးကုန်းမြို့|KanKaLay Group, ZeeKone City
ချောင်းဖြူရွာ၊ငဖဲမြို့နယ်|ChaungPhyu Village, NgaPhal Township
ဝါးကျွန်းကံရွာ|WarKyunKan Village
မလှိုင်မြို့နယ်|MaHlaing Township
ဖိုစွတ်ကျေးရွာ|Phosout village
ဆင်ပေါင်ဝဲမြို့နယ်|Sinpaungwe Township
တကွင်းကျေးရွာ|TaKwin Village
ဟိုပင်မြို့နယ်ခွဲ|Hopin Sub City
ကျောင်းကြီးပိုင်းရပ်၊အိုင်|KyaungGyiPaing Yat, Aing
သပြုအုပ်စု၊ လေးမျက်နှာမြို့နယ်|ThaPyu Group, LayMyatNar Township
အောင်မြန်မာ(၂) ၄လမ်း|AungMyanmar(2), 4 street
တောင်ညိုမြို့သစ်၊ နတ်တလင်းမြို့|TaungNyo MyoeThit Natalin City
ထိန်ကုန်းကျေးရွာ|HtainKone Village
ထန်းတပင်မြို့|Htantapin City
ဂါတ်ကုန်းရပ်|GatKone Yat
ချောက်မြို့|Chauk City
ရှမ်းစုကျေးရွာ|ShanSu Village
ဂွကလေးအုပ်စု၊ဒေးဒရဲမြို့နယ်|GwaKaLay Group, Daedaye Township
ကိုးနောင်ရပ်ကွက်ပြင်ခရိုင်အုပ်စု|koenaung ward pyinkayine group
ဟိုင်းကြီးကျွန်းမြို့|Hiegyikyun City
မာလိန်ကြက်ရှာအုပ်စု|marlainkyatshar group
မော်လမြိုင်ကျွန်းမြို့|Mawlamyine kyun City
နံသာရွာ|nanthar village
ပေါက်မြို့နယ်|Pauk township
မင်းတဲရပ်ကွက်|Min Tae Ward
ဒိုက်ဦးမြို့|Dit Oo City
၆၇ ပြည်ကြီးရန်လုံ|67 PyiGyiYanLone
အောင်မြေသာစံ|AungMyayTharSan
ပြည်တော်သာရွာ မဒေါ့တလုပ်အုပ်စု|pyitawthar village madouttalote group
ဟင်္သာတမြို့နယ်|Hinthata Township 
ဟိုက်ကြံခင်း|hitekyan khin
ကော့ကရိတ်မြို့နယ်|Kawkarate Township
ရွှေဖလားကျေးရွာ|Shwephalar Village 
ဇီးကုန်းမြို့|Zeekone City 
လဟာဒွန်းရွာ၊သက္ကယ်|Lahardun Village၊ Thetkel 
ကုန်းအုပ်စု၊မြန်အောင်မြို့နယ်|Kone Group၊ Myanaung Township 
ဥသျှစ်ပင်|Ohm Shit Pin
ပန်းတောင်းမြို့|Pan Taung City
မြောက်တောရွာ|Myauk Taw Village
ကျောက်ပန်းတောင်းမြို့|Kyauk Pa Taung City
ကွမ်းခြံကုန်းရွာ|kyunchankone village
ကျောင်းကုန်းမြို့|Kyaungkone City
လက်ပန်ချောင်းကဝရွာ|latpanchaung kawa village
သုံးခွမြို့|Thonekwa City
ကင်းတောင်ရွာ|kintaung village
တောင်ကုတ်မြို့နယ်|TaungKote Township
တမာကန်ကျေးရွာ|Ta Mar Kan Village
ဝမ်းတွင်းမြို့နယ်|Wan Twin Township
မြောက်ရွာလေး/|Myauk Ywar Lay
တလုပ်မြို့အုပ်စု၊ မြင်းခြံမြို့|Ta Lote Myo Group, Myin Chan City
မင်းယားရွာ|Min Yar Village
ဖောင်းပြင်မြို့|Phaung Pyin City
ကျွန်းတောရသာရွာ|Kyun Taw Ya Thar Village
ကြို့ပင်ကောက်မြို့|Kyo Pin Kauk City
ခင်တဲ၊ ပွင့်ဖြူမြို့|Khin Tel, Pwint Phyu City
ရပ်ကွက် (၁)|Ward (1)
မိုမ်းခတ်မြို့|Mine Khat City
ကွနှီးကျေးရွာ|Kwa Nhee Village
ကျောက်တန်းမြို့|Kyauk Tan City
မြစ်ကျူးကျေးရွာ|Myit Kyuu Village
အဝမြို့နယ်|A Wa Township
သဖန်ကုန်း‌ရွာ၊ သဖန်|Tha Phan Kone Village၊ Tha Phan
ကုန်းအုပ်စု ဇိကျွန်းမြို့|Kone Group Zi Kyun City
ပန်းပွဲရွာ၊ရပ်ကွက်(၁)|Pan Pwal Village၊ Ward (1)
မိုင်းစံမြို့၊ မိုင်းရှိုးမြို့နယ်|Mine San City၊ Mine Shoe Township'
အင်းကောက်ကြီးရွာ|Inn Kauk Kyi Village
သာယာဝတီမြို့|Thar Yar Waddy City
ရေခါးကျေးရွာ|Yay Khar Village
တောာင်သာမြို့နယ်|Thaung Thar Township
သန်သဲရွာ၊ ဆင်ခြေဖုံး|Than Thal Village၊ Sin Chay Pone
အုပ်စု၊ တနင်္သာရီမြို့နယ်|Group၊ Tha Hnin Thar Ye Township
အမှတ်(၂/က) သရဖီ|No(2/Ka) Tha Ya Phe
လမ်း၊ ၃(က)ရပ်ကွက်၊ မင်္ဂလာဒုံ|Street၊ 3(Ka) Ward၊ Mingalar Don
ဂုံညှင်းတန်းရွာမ|Gon Nyin Tan Ywar Ma
မော်ကျွန်းမြို့နယ်|Maw Kyun Township
မဲဇလီဥတိုရွာ၊ အုပ်စု|Mae Sa Li U Toe Village, Group
မော်လမြိုင်ကျွန်းမြို့နယ်|Mawlamyaing Kyun Township
ထပရ-၂၂၂၊ စဉ့်ဟယ်|Hta Pa Ya -222, Sint Hal
ရပ်၊ ရွှေညောင်မြို့|Ward, Shwe Nyaung Township
အောင်ချမ်းသာ|Aung Chan Thar Village
ပုသိမ်ကြီးမြို့နယ်|Pathein Gyi Township
စီပိန်းရွာ|Si Pain Village
အင်းတော်မြို့နယ်|Inn Taw township
ကျောက်ဖူးကျေးရွာ|Kyauk Phoo Village
တောင်သာမြို့နယ်|Taung Thar Township
စည်ပင်သာရွာ ၊မိတ္တီလာ|Si pin thar village maiktilar
သရက်ပင်ကန်ရိုးရွာ|Tha Yet Pin Kan Yoe Village
ကြို့ပင်သာအုပ်စု၊ နတ်တလင်းမြို့|Kyo Piin Thar Group, Net Ta Lin Township
အင်းရွာကြီးရွာ|Inn Ywar Gyi Village
အောင်လံမြို့နယ်|Aung Lan Township
ရှမ်းဝတီးရွာ၊ ဒိုးသောင်အုပ်စု|Shan Wadi Village, Doe Thaung Group
တောင်ငူမြို့|Taungoo Township
ဆင်ချောင်းရွာ|Sin Chaung Village
ရေစကြိုမြို့နယ်|Yay Sa Kyo Township
အင်းကုန်း စက်မှုလယ်ယာ|Inn Kone Sat Mu Lal Yar
ကျောက်ဆည်မြို့|Kyauk Sal Township
ရဲစိုးဘွတ်ကြီးအုပ်စု|Ye Soe Bwat Gyi Group
မှော်ဘီမြို့|Hmaw Bi Township
(၉) လမ်း၊|(9) Street
ဗထူးရပ်ကွက်၊ ရေကြည်မြို့နယ်|Bahtoo Ward, Yay Kyi Township
စပါးရိုးကျေးရွာ|Sapar Yoe Village
ဝါးခယ်မမြို့နယ်|Wah Khal Ma Township
မကျီစုရွာ၊ ကြူဝန်ကျေးရွာ|Ma Kyi Su Village, Kyu Won Village
အုပ်စု၊ ပွင့်ဖြူမြို့နယ်|Ward, Pwint Phyu Township
ဆင်ခေါင်းရွာ|sinkaung village
မင်းဘူးမြို့|Minbu city
မြေနီကုန်းရွာ|myaynikone village
ပေါက်ခေါင်းမြို့|Paukkaung City
၇၉၅ မယ်တော်ကြီးလမ်း|795 maltawgyi street
မော်လမြိုင်|Mawlamine
အမှတ်၃ရပ်ကွက်|No3ward
သာစည်မြို့နယ်|Tharsi Township
၂၄၆သုတ၈လမ်း၄ရပ်ကွက်|246thuta8street 4ward
တောင်ဥက္ကလာပမြို့|South okkalapa Township
မြတောင်ကျေးရွာ|myataung village
မိုးကောင်းမြို့|Moekaung City
တံတားဦး|tataroo
သထုံမြို့နယ်|Thahtone Township
ငါးကြင်းအင်း သိမ်ဆိပ်|ngarkyininn theinsite
သထုံမြို့နယ်|Thahtone Township
ပညင်းရွာ|panyin village
ရေစကြိုမြို့နယ်|Yaysakyo Township
ကုက္ကိုခါးလှရွာ|Kote Ko Khar Hla Village
ပျော်ဘွယ်မြို့နယ်|Pyaw Bwal Township
ညောင်ပင်ထောင့်|Nyaung Pin Daung
အောင်ပန်း၊ ကလောမြို့နယ်|Aung Pan , Kalaw Township
မင်္ဂလွန်ကျေးရွာ/အုပ်စု|Mingalon Village, Group
ကျောက်တန်းမြို့နယ်|Kyauk Tan Township
ဟင်္သာရွာ|hinnthar village
မိုးမောက်မြို့နယ်|Moemouth Township
ကံရွာ|Kan village
ကျောက်တလုံးအုပ်စု ငါန်းဇွန်မြို့နယ်|Kyauktalone group Nganzun Township
မြောင်ချောင်းကျေးရွာ|Myaung Chaung Village
မင်းပြားမြို့နယ်|Myin Byar Township
ပျော်ဘွယ်ရွာ၊အနောက်|Pyawbwe village, West
တောအုပ်စု၊ငါန်းဇွန်မြို့နယ်|Taw group, Nganzun Township
အလယ်ရွာ|Middle village
ညောင်လေးပင်မြို့နယ်|Nyaunglaypin Township
လူးကြီးကုန်းရွာ၊ညောင်ချဉ်|Luekyikone village, Nyaung chin
အုပ်စု၊မြန်အောင်မြို့နယ်|group, Myanaung Township
ဒေါင်းလည်ရွာ|Daunglae village
ကျောက်ပန်းတောင်းမြို့နယ်|Kyaukpantaung Township
၇၄/အရိုကုန်းလမ်း|74/Ayoekone Street
တာမွေ|Tamwe
ကောင်းလှိုင်းရွာ| Kaung Hlaing Village
ပင်လောင်းမြို့နယ်|Pin Laung Township
ရ.က.က(၃)|Ya.Ka.Ka(3)
ပြင်ဦးလွင်|PyiOoLwin
ခကရ ၁၊သံဘိုးရွာ|Kha. Ka Ya 1,Than Bo Village
ကျောက်ကြီးမြို့နယ်|Kyout Gyi Township
တ/၁၀/၄၁၊၃၃|Ta/10/41,33
၁၆လမ်း ရွှေပြည်သာ|16 Street, ShwePyiThar
မကျီးခွကျေးရွာ|Ma Chi Kha Village
ညောင်ဦးမြို့နယ်|Nyoung Oo Township
စည်တော်ကုန်း|Si Tall Kone
ဟင်္သာတ|Hin Thar Ta 
၁၀/၂၀၊မြသီတာလမ်း|10/20,Mya Thidar Street
မော်လမြိုင်ကျွန်း|Maw La Mying Khoon 
မင်းကြီးကုန်းရွာ၊ဇီးကျွန်းအုပ်စု|Min Gyi Kone Village, Zee Khoon Group
ရွှေတောင်မြို့|Shwe Toung City
ဝင်းစိန်အလယ် (တောင်ပိုင်း)|Win Sain A Lae (South)
သထုံမြို့နယ်|Tha Htone Township
မန်သာရွာ|Man Thar Village
မန်စီမြို့|Ma Si City
အကွက်(၃)၊ အံဒင်ရွာ|AKwat(3), AnDin Village
ရေးမြို့နယ်|Yay Township
ကျုံလမ်းရွာ၊ကျုံလမ်း|KyoneLan Village, KyoneLan
အုပ်စု၊ ပန်းတနော်မြို့နယ်။|Group, Pathein Township
ကံကလေးရွာ|KanKaLay Village
ကျောက်တံခါးမြို့နယ်|Kyauktakar Township
နွာတော်ကုန်းရွာ၊နွာတော်ကုန်းအုပ်စု|Ngor Taw Kone Village, Ngor Taw Kone Group
ညောင်ဦးမြို့နယ်|Nyoung Oo Township
ယင်းမာပင်ရွာ|YinMarPin Village
သာစည်မြို့နယ်|TharSi Township
မာလာမြိုင်၂လမ်း၊မြို့ကွက်သစ်|Malar Myaing 2 Street, Myou Koae Thit 
ပန်းတနော်|Pan Tan Naw 
ငှက်သိုက်ရွာ၊ ဆင်တလင်း|Hnat Thike Village, SIn Ta Lin
အုပ်စု၊ လက်ပံတန်းမြို့|Group, Lat Pan Tan City
ဈေးအနောက်|Zay A Nauk
မြစန္ဒာရပ်ကွက်၊ မြောင်းမြမြို့နယ်|Mya Sandar Ward, Myang Mya Township
အင်ပင်လှရွာ|InPinHla Village
ဆင်ပေါင်ဝဲမြို့နယ်|SinPaungWal Township
ရေကြည်အုပ်စု/|Ye Kyi Group
ချောင်းခွကျေးရွာ နတ်တလင်း|Chaung Kwa Village Nat Ta Lin
မြို့|City
ကျော်လှရွာ၊ ကျော်လှ|KyawHla Village, KyawHla
အုပ်စု၊ ဖြူးမြို့နယ်|Group, Phyu Township
ကျီးအောင်းရွာ၊ ကုန်းသာ|Kyee Aung Village, Kone Thar
အုပ်စု၊ လယ်ဝေးမြို့နယ်|Group, Lewe Township
လက်ခုတ်ရွာ/|Lat Kope Village/
ကွင်းပေါက်အုပ်စု၊ သာပေါင်း|Kwin Pauk Group, Thar Paung
မြေနီကုန်းလမ်း|Myay Ni Kone Street
(၃) ရပ်ကွက်၊ ပုလောမြို့|(3) Ward, Pu Law City
နထားရွာ|Na Htar Village
အောင်လံမြို့နယ်|Aung Lan Township
ဆတ်သေရွာ|Sat Thay Village
ရပ်စောက်မြို့|Yat Soat City
မကျီးပင်ရွာ|Ma Gyee Pin Village
ကျောက်တံခါးမြို့နယ်|Kyauk Ta Ga Township
(၁၇) ရပ်ကွက်၊ ဖျာပုံမြို့|(17) Ward, Phyar Pon City
အမှတ်(၆)ရွာ- အမှတ်|No.(6) Village-No.
(၅) အုပ်စု/ နမ့်စန်မြို့|(5) Group/ Nant San City
ပုဂေါဇွန်းရွာ၊ ရေဖြူ|PuGallZon Village, YayPhyu
ပြည်စံအောင်ရပ်ကွက်|PyiSanAung Ward
ဇေယျာသီရိမြို့|ZayThiri City
သစ်ရာကောက်ရွာ|Thit Yar Kauk Village
မကွေးမြို့နယ်|Magway Township
ချောင်းဖျားကျေးရွာ|ChaungPhyar Village
ဒေးဒရဲမြို့နယ်|Dedaye Township
ခမရ (၄၁၇)၊ ဖွဲသင်းအုပ်စု|Kha Ma Ya (417), Phwel Thin Group
ပျော်ဘွယ်မြို့နယ်|Pyaw Bwe Township
ဗန္ဓုလရပ်ကွက်|Badula Ward
မြင်းမူမြို့နယ်|MyinMu Township
တင်းချောင်း၊တင်းချောင်း|Tinn Chaung Street, Tinn Chaung 
ငရုတ်ကောင်းမြို့ |Nga Yote Kaung City
မြောက်ပင့်ရွာ|MyaukPint Village
ကံမမြို့နယ်|KJanMa Township
မင်းလှသာစည်ရွာ|MinHla Tharsi Village
ပျော်ဘွယ်မြို့|Paw Bwe City
ဆည်ကုန်းရွာ |Sel Kone Village
မိတ္ထီလာမြို့|Meik Htila City 
အမှတ် ၇၉ , ငုဝါလမ်း|No.79 , Nuwar Street
စောရန်ပါတောင်|SawYanPar Hill
ပဲကန် (တ)|PaeKan (south)
ပျော်ဘွယ်မြို့နယ်|Pyaw Bwe Township
အောင်ပန်းကုန်း|Aung Pan Kone 
နွားထိုးကြီးမြို့နယ်|Nwar Hto Gyi Township
ဒေါင်းကြီး |Daung Gyi 
ဘိုကလေးမြို့|Bo Ka Lay City 
သဝန်ထွက်ကျေးရွာ|ThaWontut Village
ဟုမ္မလင်းမြို့နယ်|Homemalin Township
ကျွဲတဲအုပ်စု ရွှေချောင်း|Kywete group Shwechaung
ကွက်သစ် ပခုက္ကူမြို့နယ်|New ward Pakokku Township 
ကျွတ်ကန်ရွာ |Kyoot Kan Village
ဝမ်းတွင်းမြို့နယ်|Wan Twin Township 
ဇုတ်သုတ်(ဇ)၊ တောင် |Zoke Toke (Za) , Taung 
ဘီးလင်းမြို့နယ်|Bee LinTownship 
မြင်းကဆိပ်ကျေးရွာ |Myin Ka Seik Village 
ကန်ကြီးထောင့်မြို့နယ်|Kan Gyi Daung Township 
မော်လူးရွာ |Maw Luu Village
အင်းတော်မြို့ |Inn Taw City 
(၄၇)၊ အနှိပ်တော်ရပ် |(47), A Hnat Taw Yat 
အော်မြေသာစံမြို့နယ်|Aung Myay Thar San Township 
တောင်ယာတောရွာ |Taung Yar Taw Village
တောင်ယာတောအုပ်စု၊ နတ်တလင်းးမြို့နယ်|Taung Yar Taw Group, Nattalin Township 
မန်နောင်ရွာ၊ မိုးမောက်|Man Naung Village , Moe Mouk
မြို့နယ် |Township
ရိုးကြီး၊ တကောကျေး |Yoe Gyi, Ta Kaw 
ရွာ၊ အိမ်မဲမြို့နယ်|Village, Eain Mae Township 
ကျိန်ချောင်း၊ အင်းမ|Kyain Chaung , Inn Ma
ညောင်တုန်းမြို့ |Nyaung Tone City 
အုန်းပင်စု၊ ကညင်ကောက်ကြီး|Ohan Pin Su, Kanyin Kyauk Gyi '
ညောင်တုန်းမြို့။|Nyaung Tone City ,
အင်းရွာ|Inn Village
နွားထိုးကြီးမြို့နယ်|Nwar Htoe Gyi Township 
ဂျုံးဂျုံးဂျ၊ ဒည်ကုန်း|Jone Jone Gya, Degone
သာပေါင်းမြို့နယ်|Thabaung Township
ရေချော်ရွာ၊ မရမ်းမြို့ |Yay Chaw Village, Ma Yan City 
မကျီးပင်ရွာ၊ ဘန့်ကွေး|Ma Gyee Pin Village, Bant Kway
တောင်ကြီးမြို့နယ်|Taung Gyi Township
တလုပ်ထော်ကျေးရွာ |Ta Loke Htaw Village
တွံတေးမြို့ နယ်|Ton Tay Township 
မြို့ဦးရပ်ကွက်|Myoe Oo Ward
ရပ်စောက်မြို့ |Yat Souk City 
မင်းချောင်းလယ်ရွာ|Minchaunglel village 
ညောင်ရွှေမြို့|Nyaungshwe township 
ထောက်ရှာကွင်းရွာ|Htauk Char Kwin Village
ဇလွန်မြို့|Zalon City
၇ရပ်ကွက်|7 Qtr
ညောင်တုန်းမြို့|Nyaung Tone City
ခြုံဆွယ်ရွာ အုပ်စု|Chone Swal Village group
ကျောက်ဖြူမြို့နယ်|Kyauk Phyu Township
ကန်ဦးရွာ|Kaboom village 
ရမည်းသင်းမြို့|Yamelthin township 
စစ်ကွင်းရွာ၊စစ်ကွင်းခြံအုပ်စု|Sis Kone Village, Sis Kone Chan Group
မြောင်းမြမြို့နယ်|Myoung Mya Township
ကံကလေး၊ ကြို့ကုန်း|KanKaLay, KyoeKone
သာယာဝတီမြို့နယ်|TharYarWadi Township
ဆပ်သွားတော|Satthwartaw 
မှော်ဘီမြို့|Hmawbi township 
ဥယျာဉ်ရွာ၊မြိုင်မြို့နယ်|OuYin Village,Myine Township
ရွာသစ်ကြီးကျေးရွာ|Ywar Thit Gyi Village
မကွေးမြို့|Magwe City
ကန်ကြီးဒေါင့်ကုန်း|Kan Gyi Daunk Kone 
ကျေးရွာ၊ အိမ်မဲမြို့|Village, Eain Mae City 
ဇရပ်ကွင်းရွာ|Zayat Kwin Village
သပိတ်ကျင်းမြို့နယ်|Thapaikkyin Township
ရွာသစ်ကျေးရွာ|Ywarthit Village
တွံတေးမြို့|Twante City
တမာဂရတ်ကျေးရွာ|Tamar gayat village
သန်လျင်|Thinlyin
ကြက်သရေကျေးရွာ|Kyat Thayay Village
ပေါက်တောမြို့နယ်|Pauk Taw Township
ပန်းပြင်ရွာ|Pan Pyin Village
သရက်ချောင်းမြို့နယ်|Thayat chaung Township
ကမာကသွယ်ရပ်ကွက်|Ka Mar Ka Thwal Ward
ဒလမြို့နယ်|Dala Township
ကမာကလုတ်ကျေးရွာ|Kamar ka loat Village
ကျောက်တန်းမြို|Kyauk Tan CIty
ညောင်ဝိုင်းကျေးအုပ်စု|Nyaung Wine Kyay Group
မအူပင်မြို့|Maubin City
နမ - ၃၊ မင်္ဂလာအောင်|Na Ma-3, Min Galar Aung 
မြေရပ်၊ ရွှေညောင်မြို့|Myay Yatt, Shwe Nyaung City
ဆူးပုတ်ပျဥ်းတောရွာ|Suu Pauk Pyin Taw Village
အမ်းမြို့နယ်|Ann Township
ငှက်ပျောကျွန်းတောင်ပိုင်း|Ngat Pyor Kyun Taung Paing
ညောင်တုန်းမြို့|Nyaung Tone City
ကစစ(၁၆)၊ ထင်တဲ|Kasasa (16), Htin Tae 
ပန်းတောင်းမြို့|Pan Taung City 
သဲတော(၁)၊ ဝမ်းတွင်း|Theltaw(1), onetwin 
မြို့|Township 
အရှေ့ရပ်ကွက်|East ward
မိုင်းပန်မြို့|Minepan City
ဒမငယ်ရွာ/အုပ်စု|Dama Ngel Village/ Group
နတ်တလင်းမြို့|Nat Ta Lin City
ရုံးရပ်ကွက်တောင်ပိုင်း|Yone Ward Taung Paing
အမှတ်(၇) မင်းလှမြို့|No(7) Min Hla City
ရေသိုးရွာ၊ ရင်းတိုက်|Ye Thoe Village, Yin Tite
အုပ်စု၊ မြန်အောင်မြို့|Group, Myan Aung City
မြောက်ရွာ ဘိုရွာ|North Village, Bo Village
ငါန်းဇွန်မြို့နယ် |Ngan Zon Township 
ဇရပ်ကြီးကျေးရွာ|Zayatgyi village 
ထန်းတပင်မြို့နယ်|Htantapin township 
အမှတ်(၃)ရပ်ကွက်|No(3) Ward
ရဲသန်းဝန်း၊ ညောင်တုန်း|Ye Tha Won ၊ Nyaung Tone
ဇေယျာခင်ဦး(၂)|Zay Yar Khin Oo(2)
ရပ်ကွက်၊ တောင်ငူမြို့|Ward၊ Taung Nguu City
ညောင်လှရွာ၊ ကျီးသဲအုပ်စု|Nyaung Hla Village၊ Kyi Thae Group
ရွှေတောင်မြို့|Shwe Taung City
ဇီးဖြူကုန်းရွာ|ZeePhyuKone Village
ကျွဲသောင်းအုပ်စု|KwalThaung Group
ရွာမရွာ၊ကြက်ခတ်ဝါးရုံးအုပ်စု|Your Ma Village, Kyat Khat War Yone Group
နတ်တလင်းမြို့နယ်|Nat Ta Lin Township
ရုံးချောင်းရွာ၊ရုံးချောင်း|YoneChaung Village, YoneChaung 
အုပ်စု၊ ဓနုဖြူမြို့နယ်|Group,Danuphyu Township
ပေကုန်းရွာ|Pay Kone Village
ရေစကြိုမြို့နယ်|Ye Sa Kyo Township
နတ်ပြင်ကျေးရွာ|Natt Pyin Village 
မာန်အောင်မြို့နယ် |Man Aung Township
သရက်တောရွု|Thayattaw village 
ပွင့်ဖြူမြို့နယ်|Pwintphyu township 
ကန်ဦးဒေါင့်ရွာ|Kan Oo Done Village
အိမ်မဲမြို့နယ်|Eain Mae Township
ရှောက်ပင်အင်းရွာဆိပ်|Shout Pin Inn Village Sape
ဖြူးမြို့နယ်|Phyu Township
ဒါးပဲဆိပ်ကျေးရွာ|Dar Pae Sate Village
ဒေးဒရဲး|Day Da Yae
တြိန်းကျွန်းကျေးရွာ|Tain Koon Village
ဝါးခယ်မမြို့နယ်|War Khae Ma Township
အုံးသုံးပင်ရွာ၊ဘုရားငါးဆူအုပ်စု|Oham Thone Pin Village, Ba Yar Su Group
ပေါင်းတည်|Phoung Tae
ပျဥ်းကတိုးကျေးရွာ|Pyin Ka Toe Village
ကော့မှူးမြို့|Kouth Mhoo City
အိုးဘိုကုန်းရွာ|O Bo Kone Village
အုတ်တွင်းမြို့နယ်|Oak Twin Township
ခယရ ၂|Kha Ya Ya! 2
ပန်းတောင်းမြို့|Pan Toung City
ပန်းဇင်ကျေးရွာ|PanZin Village
ကျွန်းစုမြို့နယ်|KyunSuTownship
ထူးကြီးကျေးရွာ|Htookyi village
ဒလမြို့နယ်|Dala Township
အင်းပုကျေးရွာ |Inn Pu Village
မကွေးမြို့နယ်|Ma Gwey Township 
ညောင်ဝိုင်းကျေးရွာ|NyaungWine Village
သရက်မြို့နယ်|ThaYat Township
ထိန်တပင်ကျေးရွာ|HtainTaPin Village
ဝေါမြို့နယ်|Wall Township
အနောက်တောင်ကချိုက်|ANought Toung Ka Chain
ရေနံမြို့|Yai Nan City
နတ်ကန်သည်ရွာ|Natkanthe Village 
ကျောက်ပန်းတောင်းမြို့နယ်|Kyaukpadaung Township 
ဂျို့ပင်ရွာ|Jyoepin village 
ညောင်လေးပင်မြို့|Nyaunglaypin City 
ညောင်ခါရှည်ကျေးရွာ၊ ဝေါမြို့ |Nyaung Khar Shay Village, Waw City 
ကြိမ်ချောင်းရွာ, ဒါးက|Kyain Chaung Village, Darr Ka 
အုပ်စု. ကန်ကြီးတောင့်မြို့နယ် |Group. Kan Gyi Daunk Township
သုံးဆယ်ခြောက်၊ ကြည့်မြင်|Thone Sae Chauk, Kyi Myin 
ရေနံချောင်းမြို့|Yay Nan Chaung City 
မဟာဗိုလ်၊ ပျဉ်းမအိုင်|Mahar Bo, Pyin Ma Eai
အုပ်စု၊ ပြည်မြို့နယ် |Group, Pyay Township
ခ.မ.ရ (၂၀၃)၊ တီလုံရွာ|Kha.Ma. Ya(203), Tilone village 
လှိုင်းဘွဲ့မြို့နယ်|Hlaingbwel township 
မုန့်ပေါင်း|Mokepaung
ကျောက်ဆည်|Kyauksel township 
သမင်းအင်းကုန်းရွာ|Thamininnkone village
ကျောက်တံခါးမြို့နယ်|Kyauktakhar Township
၆× ၇, ဦးပြုံးချိုလမ်း၊ (၃) |6×7, U Pyone Cho Street, (3)
